               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,metrics/prohibitory_mAP,  metrics/danger_mAP,metrics/mandatory_mAP,   metrics/other_mAP,metrics/prohibitory_mAP_50,metrics/danger_mAP_50,metrics/mandatory_mAP_50,metrics/other_mAP_50
                  32,            0.024768,           0.0052502,           0.0033217,              0.9721,             0.93941,             0.97837,             0.74314,            0.023385,           0.0058593,           0.0033059,            0.003862,            0.003862,            0.003862,             0.76194,             0.79374,             0.68974,             0.72716,             0.99445,               0.995,             0.94277,             0.98126
                  33,             0.02335,           0.0054079,           0.0032143,             0.97363,             0.93778,             0.97934,             0.74368,            0.022584,           0.0056996,           0.0030568,            0.003664,            0.003664,            0.003664,             0.77433,             0.74011,             0.71124,             0.74904,             0.99482,               0.995,             0.94481,             0.98274
                  34,            0.023911,           0.0054984,           0.0029731,             0.96549,             0.93548,             0.97929,             0.75772,            0.021806,           0.0058109,           0.0030481,            0.003466,            0.003466,            0.003466,             0.80178,             0.72836,               0.728,             0.77276,             0.99482,               0.995,             0.94601,             0.98133
                  35,            0.022073,           0.0052765,           0.0027622,             0.98312,             0.92368,             0.97791,             0.76815,            0.020205,           0.0054852,           0.0030592,            0.003268,            0.003268,            0.003268,             0.81368,             0.80451,             0.68419,             0.77024,             0.99491,             0.99482,             0.94185,             0.98008
                  36,            0.022008,            0.005268,           0.0027802,             0.97628,             0.93619,             0.97921,             0.76064,            0.022634,           0.0055616,            0.003322,             0.00307,             0.00307,             0.00307,             0.79128,              0.8094,             0.68198,              0.7599,             0.99491,               0.995,             0.94838,             0.97854
                  37,             0.02224,           0.0050662,           0.0031307,             0.96701,             0.94356,             0.97864,             0.76006,            0.021709,           0.0055745,           0.0034549,            0.002872,            0.002872,            0.002872,             0.79822,             0.79741,             0.71175,             0.73286,             0.99473,               0.995,             0.95091,             0.97393
                  38,            0.021461,           0.0051721,           0.0029736,             0.98435,             0.92513,             0.97439,             0.73175,            0.021924,           0.0056313,           0.0029877,            0.002674,            0.002674,            0.002674,             0.76894,             0.75758,             0.67774,             0.72273,             0.99482,             0.99482,             0.93447,             0.97346
                  39,            0.020415,           0.0050849,           0.0026161,             0.97763,             0.92661,             0.97645,             0.77236,            0.020247,           0.0054621,           0.0026275,            0.002476,            0.002476,            0.002476,             0.80195,             0.81543,             0.71596,             0.75611,             0.99491,             0.99482,             0.94494,             0.97113
                  40,            0.019818,           0.0050652,           0.0024123,             0.97959,             0.93134,             0.97726,             0.75593,            0.021674,           0.0054076,            0.002579,            0.002278,            0.002278,            0.002278,             0.78906,             0.80829,             0.67926,              0.7471,             0.99491,               0.995,             0.94283,             0.97628
                  41,            0.018822,             0.00483,           0.0023007,             0.98189,             0.92747,             0.97379,             0.74913,             0.01955,           0.0054484,           0.0025567,             0.00208,             0.00208,             0.00208,             0.77634,             0.78722,             0.69729,             0.73568,             0.99482,             0.99482,             0.92905,             0.97648
                  42,            0.018196,           0.0048412,           0.0021744,             0.98066,             0.92512,             0.97389,             0.75826,            0.018477,           0.0053425,           0.0025899,            0.001882,            0.001882,            0.001882,             0.78236,             0.81983,             0.69726,             0.73357,             0.99491,             0.99482,              0.9291,             0.97672
                  43,            0.018899,           0.0049887,           0.0023992,             0.97874,             0.92676,               0.976,             0.76977,            0.019185,           0.0053399,           0.0025068,            0.001684,            0.001684,            0.001684,             0.80452,             0.82527,             0.68698,             0.76229,             0.99491,             0.99482,             0.93618,              0.9781
                  44,            0.018674,           0.0046863,           0.0022068,             0.98254,             0.92365,             0.97835,             0.77552,            0.019264,           0.0053755,           0.0025213,            0.001486,            0.001486,            0.001486,             0.80027,             0.80427,             0.72163,             0.77593,             0.99482,             0.99482,             0.94608,             0.97767
                  45,            0.017774,           0.0046873,           0.0022562,             0.98284,             0.92275,               0.976,             0.77321,            0.018101,           0.0053046,           0.0024524,            0.001288,            0.001288,            0.001288,             0.81374,             0.83422,             0.69817,             0.74673,             0.99464,             0.99482,             0.93993,             0.97462
                  46,            0.017364,           0.0048215,            0.002287,             0.97992,             0.92721,             0.97516,             0.77406,            0.017749,           0.0052852,           0.0023206,             0.00109,             0.00109,             0.00109,             0.79975,             0.81678,             0.70763,             0.77207,             0.99473,             0.99482,             0.93449,              0.9766
                  47,            0.015589,           0.0046269,           0.0018688,             0.98095,             0.92401,             0.97644,             0.78344,            0.018031,           0.0051845,           0.0022237,            0.000892,            0.000892,            0.000892,             0.80373,             0.83144,             0.73168,             0.76693,             0.99491,             0.99482,             0.93705,             0.97897
                  48,            0.016891,            0.004555,            0.002205,             0.98355,             0.92483,             0.97588,             0.77845,            0.017595,           0.0052624,           0.0022346,            0.000694,            0.000694,            0.000694,             0.80298,             0.82276,             0.71843,             0.76962,             0.99491,             0.99482,             0.93589,              0.9779
                  49,            0.015022,           0.0045585,           0.0018658,             0.98306,             0.92477,             0.97505,             0.78266,             0.01712,            0.005198,           0.0021872,            0.000496,            0.000496,            0.000496,             0.81127,             0.81842,             0.73217,             0.76879,             0.99482,             0.99482,             0.93345,              0.9771
